978-0-12-815396-3,Horticultural Plant Breeding
978-0-12-815507-3,Pangolins
978-1-78548-316-5,A Physicochemical Theory of Tip Growth
978-0-12-812431-4,The Zebrafish in Biomedical Research
978-0-08-102565-9,Decontamination in Hospitals and Healthcare (Second Edition)
978-0-08-102643-4,Biocompatibility and Performance of Medical Devices (Second Edition)
978-0-12-813886-1,Bioengineering Innovative Solutions for Cancer
978-0-12-815651-3,Semi-Empirical Neural Network Modeling and Digital Twins Development
978-0-12-816965-0,The Theory of Endobiogeny
978-0-12-819637-3,General Medical Semiology Guide Part I
978-0-12-819638-0,Medical Semiology Guide of the Cardiovascular System and the Hematologic System
978-0-12-819639-7,Medical Semiology Guide of the Renal System
978-0-12-816204-0,Wastewater Treatment Residues as Resources for Biorefinery Products and Biofuels
978-0-12-811842-9,Advantages and Pitfalls of Pattern Recognition
978-0-12-814895-2,Climate Extremes and Their Implications for Impact and Risk Assessment
978-0-12-815826-5,Advanced Remote Sensing (Second Edition)
978-0-12-819845-2,Fluid Inclusion Effect in Flotation of Sulfide Minerals
978-0-12-815069-6,Modelling of Nuclear Reactor Multi-physics
978-0-12-817536-1,Microalgae Cultivation for Biofuels Production
978-0-12-821500-5,Production of Clean Hydrogen by Electrochemical Reforming of Oxygenated Organic Compounds
978-0-08-102766-0,Piezocone and Cone Penetration Test (CPTu and CPT) Applications in Foundation Engineering
978-0-12-809661-1,Tissue Elasticity Imaging
978-0-12-815503-5,Infrastructure Computer Vision
978-0-12-817594-1,Artificial Intelligence for Computational Modeling of the Heart
978-0-12-818249-9,Liengme's Guide to Excel® 2016 for Scientists and Engineers
978-0-12-815721-3,Extreme Wildfire Events and Disasters
978-0-12-818427-1,"Security Controls Evaluation, Testing, and Assessment Handbook (Second Edition)"
978-0-12-814457-2,Human Papillomavirus
978-0-12-814582-1,Maternal Immunization
978-0-12-818270-3,Dengue Virus Disease
978-0-08-102511-6,Octacalcium Phosphate Biomaterials
978-0-08-102709-7,Mid-infrared Optoelectronics
978-0-12-817827-0,Three-Dimensional Microfabrication Using Two-Photon Polymerization (Second Edition)
978-0-12-819748-6,Crystal Growth of Si Ingots for Solar Cells Using Cast Furnaces
978-0-12-819777-6,Nucleic Acids as Gene Anticancer Drug Delivery Therapy
978-0-12-814353-7,Dynamics and Stochasticity in Transportation Systems
978-0-12-818567-4,Energy and Behaviour
978-0-444-64181-6,Studies in Natural Products Chemistry
978-0-444-64183-0,Studies in Natural Products Chemistry
978-0-12-814936-2,Nasopharyngeal Carcinoma
978-0-12-817444-9,Practical Guide for Biomedical Signals Analysis Using Machine Learning Techniques
978-0-12-816548-5,Data Processing Handbook for Complex Biological Data Sources
978-0-12-815162-4,Second and Third Generation of Feedstocks
978-0-12-815613-1,Design of Solar Thermal Power Plants
978-0-12-816457-0,The Effect of UV Light and Weather on Plastics and Elastomers (Fourth Edition)
978-0-12-812775-9,Quantitative Anthropology
978-0-12-814307-0,Mosaic of Autoimmunity
978-0-08-102814-8,Materials for Biomedical Engineering
978-0-12-812667-7,Nanotube Superfiber Materials (Second Edition)
978-0-12-816872-1,Materials for Biomedical Engineering
978-0-12-816874-5,Materials for Biomedical Engineering
978-0-12-816901-8,Materials for Biomedical Engineering
978-0-12-816909-4,Materials for Biomedical Engineering
978-0-12-816913-1,Materials for Biomedical Engineering
978-0-12-817084-7,Basic Biostatistics for Medical and Biomedical Practitioners (Second Edition)
978-0-12-816430-3,"The Behavioral, Molecular, Pharmacological, and Clinical Basis of the Sleep-Wake Cycle"
978-0-12-815799-2,Pharmaceutical Quality by Design
978-0-12-813004-9,Pediatric Anxiety Disorders
978-0-08-102124-8,Academic Libraries and Public Engagement with Science and Technology
978-0-444-63977-6,Hyperspectral Imaging
978-0-323-69672-2,Safety Training for Obstetric Emergencies
978-0-323-60984-5,Handbook of Pediatric Retinal OCT and the Eye-Brain Connection
978-0-323-68017-2,Addiction Medicine for Health Care Professionals
978-0-12-815357-4,Saving Food
978-0-12-816403-7,Trends in Personalized Nutrition
978-0-12-816438-9,The Practical Handbook of Perioperative Metabolic and Nutritional Care
978-0-12-816467-9,Nutraceutical and Functional Food Regulations in the United States and around the World (Third Edition)
978-0-12-816495-2,"Dietary Fiber: Properties, Recovery, and Applications"
978-0-12-816687-1,Value-Added Ingredients and Enrichments of Beverages
978-0-12-816689-5,Natural Beverages
978-0-12-816695-6,"Proteins: Sustainable Source, Processing and Applications"
978-0-12-817004-5,Role of Plant Growth Promoting Microorganisms in Sustainable Agriculture and Nanotechnology
978-0-12-817190-5,Food Quality and Shelf Life
978-0-12-817562-0,Effect of High Temperature on Crop Productivity and Metabolism of Macro Molecules
978-0-12-818967-2,Alternative Swine Management Systems
978-0-12-818404-2,Biobased Polymers
978-0-12-818888-0,A Practical Guide to Gas Analysis by Gas Chromatography
978-0-12-819088-3,Single-Atom Catalysis
978-0-444-64106-9,Microclimate for Cultural Heritage (Third Edition)
978-0-08-102486-7,"Single-Phase, Two-Phase and Supercritical Natural Circulation Systems"
978-0-12-819504-8,Power Plant Instrumentation and Control Handbook (Second Edition)
978-0-08-102267-2,5G NR
978-0-12-809448-8,Software Engineering for Embedded Systems (Second Edition)
978-0-12-818729-6,Machinery Component Maintenance and Repair (Fourth Edition)
978-0-12-813142-8,Thermo-ecology
978-0-12-815856-2,"Determination of Toxic Organic Chemicals in Natural Waters, Sediments and Soils"
978-0-08-102577-2,Fundamentals and Sensing Applications of 2D Materials
978-0-12-818433-2,Materials for Biomedical Engineering
978-0-12-813997-4,Nervous System Drug Delivery
978-0-12-817992-5,Arousal in Neurological and Psychiatric Diseases
978-0-08-102922-0,Medicinal Foods as Potential Therapies for Type-2 Diabetes and Associated Diseases
978-0-12-816963-6,Polymeric Nanoparticles as a Promising Tool for Anti-cancer Therapeutics
978-0-12-813454-2,"Transportation, Energy Use and Environmental Impacts"
978-0-12-804572-5,Principles of Nutrigenetics and Nutrigenomics
978-0-12-816503-4,Felines of the World
978-0-12-816222-4,Genetics and Genomics of Eye Disease
978-0-12-809943-8,Integrated Energy Systems for Multigeneration
978-0-12-815965-1,Transport and Energy Research
978-0-12-816445-7,Decision Making Applications in Modern Power Systems
978-0-12-814245-5,Handbook of Robotic and Image-Guided Surgery
978-1-78548-301-1,Non-Linear Electronics 2
978-1-78548-313-4,Mechanical Properties of Polycarbonate
978-0-12-815131-0,The Mind under the Axioms
978-0-08-102559-8,Semiconductor Gas Sensors (Second Edition)
978-0-08-100616-0,Clinical Research in Paediatric Psychopharmacology
978-0-12-817212-4,Functional Analysis
978-0-12-817362-6,Urban Freight Transportation Systems
978-0-12-814523-4,Graphene Surfaces
978-0-323-63982-8,Acute Rheumatic Fever and Rheumatic Heart Disease
978-0-12-814024-6,Electron Magnetic Resonance - Applications in Physical Sciences and Biology
978-0-444-64108-3,Reading the Soil Archives
978-0-323-42874-3,Drugs for Pregnant and Lactating Women (Third Edition)
978-0-323-53094-1,Perinatal Genetics
978-0-7020-7611-4,Contact Lens Complications (Fourth Edition)
978-0-12-818040-2,Sustainable Biofloc Systems for Marine Shrimp
978-0-12-816476-1,Carbonic Anhydrases
978-0-12-815727-5,The Wolff-Kishner Reduction and Related Reactions
978-0-12-812518-2,A Comprehensive Physically Based Approach to Modeling in Bioengineering and Life Sciences
978-1-56990-734-4,User's Guide to Plastic (Second Edition)
978-1-56990-754-2,Elastic Behavior of Polymer Melts
978-0-12-816696-3,Buying and Selling the Environment
978-0-12-816207-1,Compulsive Eating Behavior and Food Addiction
978-0-12-817055-7,Natural Polysaccharides in Drug Delivery and Biomedical Applications
978-0-12-814495-4,Context
978-0-12-817126-4,Evolution's Clinical Guidebook
978-0-12-815052-8,"Copper(I) Chemistry of Phosphines, Functionalized Phosphines and Phosphorus Heterocycles"
978-0-444-63895-3,The Sedimentary Basins of the United States and Canada (Second Edition)
978-0-08-102592-5,Pathways to a Smarter Power System
978-0-12-814186-1,Piezoelectric Actuators: Vector Control Method
978-0-12-816358-0,Nature-inspired Optimization Algorithms for Fuzzy Controlled Servo Systems
978-0-444-64156-4,High Pressure Rheology for Quantitative Elastohydrodynamics (Second Edition)
978-1-56990-635-4,Processing of Polymer Nanocomposites
978-1-927885-45-1,Databook of Solvents (Second Edition)
978-1-927885-51-2,Graphene
978-0-12-814776-4,Self-Cleaning of Surfaces and Water Droplet Mobility
978-0-12-816354-2,Lignocellulose for Future Bioeconomy
978-0-12-818620-6,The Comorbidities of Epilepsy
978-0-12-813804-5,The Accelerating Transport Innovation Revolution
978-0-12-814820-4,Drought Challenges
978-0-12-813171-8,Nutritional and Health Aspects of Food in Western Europe
978-0-12-814007-9,Kalanchoe (Crassulaceae) in Southern Africa
978-0-12-816406-8,Genetics and Breeding for Disease Resistance of Livestock
978-0-12-849886-6,Molecular Nutrition Carbohydrates
978-0-12-811924-2,Mucosal Vaccines (Second Edition)
978-0-12-814942-3,Intelligent Biomechatronics in Neurorehabilitation
978-0-12-813814-4,Hormonal Signaling in Biology and Medicine
978-0-12-814823-5,Maternal-Fetal and Neonatal Endocrinology
978-0-12-817572-9,Advanced Hematology in Integrated Cardiovascular Chinese Medicine
978-0-12-817580-4,"Herbal, Bio-nutrient and Drug Titration According to Disease Stages in Integrative Cardiovascular Chinese Medicine"
978-0-12-814227-1,Blast Furnace Ironmaking
978-0-12-815932-3,Laboratory Methods in Dynamic Electroanalysis
978-0-12-816398-6,Gas-Particle and Granular Flow Systems
978-0-12-816699-4,Handbook of Nanomaterials in Analytical Chemistry
978-0-12-818785-2,Surface Area and Porosity Determinations by Physisorption (Second Edition)
978-0-12-818090-7,Invariant Imbedding T-matrix Method for Light Scattering by Nonspherical and Inhomogeneous Particles
978-0-08-102884-1,Electric Drives and Electromechanical Systems (Second Edition)
978-0-08-101937-5,Handbook of Materials Failure Analysis
978-0-12-815028-3,Innovations and Emerging Technologies in Wound Care
978-0-12-816034-3,Biomedical Information Technology (Second Edition)
978-0-12-816176-0,Handbook of Medical Image Computing and Computer Assisted Intervention
978-0-12-816502-7,Optical Fiber Telecommunications VII
978-0-12-817690-0,Sustainable Development for Mass Urbanization
978-0-08-102698-4,Marine Protected Areas
978-0-12-814327-8,The GOES-R Series
978-0-08-102434-8,High Performance Silicon Imaging (Second Edition)
978-0-08-102637-3,2D Materials for Photonic and Optoelectronic Applications
978-0-08-102663-2,Rapid Prototyping of Biomaterials (Second Edition)
978-0-12-814182-3,Characterization of Nanoparticles
978-0-12-815467-0,Optical Holography
978-0-12-816006-0,Compatibilization of Polymer Blends
978-0-12-816421-1,Hydrogels Based on Natural Polymers
978-0-12-814368-1,Modeling Evolution of Heterogenous Populations
978-0-12-811316-5,Insomnia and Fatigue after Traumatic Brain Injury
978-0-12-813176-3,Personalized Psychiatry
978-0-12-815645-2,Lymphatic Structure and Function in Health and Disease
978-0-12-814487-9,Drug Delivery Systems
978-0-12-815921-7,Loomis's Essentials of Toxicology (Fifth Edition)
978-0-12-815012-2,A Clinical Introduction to Psychosis
978-0-12-814694-1,Transport and Children's Wellbeing
978-0-12-816027-5,The Microeconomics of Wellbeing and Sustainability
978-0-323-48319-3,Essentials of Nuclear Medicine and Molecular Imaging (Seventh Edition)
978-0-12-818634-3,29 European Symposium on Computer Aided Process Engineering
978-0-12-809437-2,The Technology of Wafers and Waffles II
978-0-12-815259-1,Processing and Sustainability of Beverages
978-0-12-815260-7,Production and Management of Beverages
978-0-12-816498-3,Dog Behavior
978-0-12-814692-7,Nontuberculous Mycobacteria (NTM)
978-0-12-815607-0,Critical Issues in Alcohol and Drugs of Abuse Testing (Second Edition)
978-0-444-64192-2,Biofuels from Algae (Second Edition)
978-0-444-64121-2,The Nutritional Biochemistry of Chromium (III) (Second Edition)
978-0-12-814003-1,Coasts and Estuaries
978-0-08-102641-0,Nanotechnology in Eco-efficient Construction (Second Edition)
978-0-08-102676-2,Use of Recycled Plastics in Eco-efficient Concrete
978-0-12-818336-6,Solid Waste Landfilling
978-0-12-813117-6,Applied Time Series Analysis
978-0-12-814940-9,IFRS 9 and CECL Credit Risk Modelling and Validation
978-0-12-811359-2,Encouraging Pro-Environmental Behaviour
978-0-12-813521-1,Case Formulation for Personality Disorders
978-0-12-814291-2,The Dark Triad of Personality
978-0-323-47674-4,Abeloff's Clinical Oncology (Sixth Edition)
978-0-12-814048-2,Problems and Solutions in Structural Geology and Tectonics
978-0-12-813637-9,Sweet Potato
978-0-12-815322-2,Advances in Phytonanotechnology
978-0-12-815851-7,Sports and Energy Drinks
978-0-12-816363-4,Transgenerational Epigenetics (Second Edition)
978-0-12-817006-9,Mitochondrial Medicine
978-0-08-102666-3,Metals for Biomedical Devices (Second Edition)
978-0-12-811077-5,Wilson Disease
978-0-12-815675-9,Imides
978-0-08-102517-8,Defrosting for Air Source Heat Pump
978-0-08-102939-8,Statistics for Biomedical Engineers and Scientists
978-0-12-815022-1,Probability and Mechanics of Ship Collision and Grounding
978-0-12-816564-5,Sustainable Engineering Products and Manufacturing Technologies
978-0-12-818601-5,Precision Motion Systems
978-0-12-817497-5,Advances in Biological Science Research
978-0-08-102152-1,Handbook of Metal Injection Molding (Second Edition)
978-0-08-102582-6,Materials in Sports Equipment (Second Edition)
978-0-12-814401-5,Functional Nanostructured Interfaces for Environmental and Biomedical Applications
978-0-12-817420-3,EEG-Based Experiment Design for Major Depressive Disorder
978-0-12-816144-9,New Developments in Nanosensors for Pharmaceutical Analysis
978-0-12-813985-1,Descriptive Psychology and the Person Concept
978-0-08-102572-7,Nanostructured Thin Films
978-0-08-102727-1,Emerging Natural and Tailored Nanomaterials for Radioactive Waste Treatment and Environmental Remediation
978-0-08-102302-0,Self-Assembly of Nano- and Micro-structured Materials using Colloidal Engineering
978-0-12-815730-5,Evaluating Water Quality to Prevent Future Disasters
978-0-323-53045-3,Rodak's Hematology (Sixth Edition)
978-0-323-52992-1,Catheter Ablation of Cardiac Arrhythmias (Fourth Edition)
978-0-12-814474-9,Management Strategies for Sustainable Cattle Production in Southern Pastures
978-0-12-816681-9,Quality Control in the Beverage Industry
978-0-12-819233-7,Meat Quality Analysis
978-0-12-814841-9,Principles of Bone Biology (Fourth Edition)
978-0-12-816389-4,Coronary Calcium
978-0-12-816665-9,Effects of Lifestyle on Men's Health
978-0-12-814178-6,Advanced Low-Cost Separation Techniques in Interface Science
978-0-12-814853-2,Solar Hydrogen Production
978-0-12-815581-3,Biofuels for a More Sustainable Future
978-0-12-816508-9,Formulas and Calculations for Petroleum Engineering
978-0-12-817774-7,Distributed Energy Resources in Microgrids
978-0-12-818111-9,Synthetic Aperture Radar Imaging Mechanism for Oil Spills
978-0-12-816634-5,"Science, Technology and Applications of Metals in Additive Manufacturing"
978-0-12-815055-9,Ecology of Desert Systems (Second Edition)
978-0-12-815065-8,Numerical Methods and Optimization in Finance (Second Edition)
978-0-12-814533-3,Nanomaterials from Clay Minerals
978-0-12-816671-0,Superhydrophobic Polymer Coatings
978-0-12-813633-1,New Techniques for Management of 'Inoperable' Gliomas
978-0-12-814464-0,Intermodal Freight Transportation
978-0-323-41560-6,Musculoskeletal MRI (Third Edition)
978-0-323-53091-0,Pediatric Hand Therapy
978-0-323-56699-5,Mechanical Circulatory Support (Second Edition)
978-0-323-58131-8,Major Depressive Disorder
978-0-323-65391-6,3-Dimensional Modeling in Cardiovascular Disease
978-0-323-66195-9,Advances in Treatment and Management in Surgical Endocrinology
978-0-323-67509-3,Immunologic Concepts in Transfusion Medicine
978-0-323-67534-5,Sjogren's Syndrome
978-0-323-65384-8,Concussion
978-0-323-67374-7,Disorders of Sleep and Wakefulness in Parkinson's Disease
978-0-323-67969-5,Office-Based Endovascular Centers
978-0-323-59496-7,Withrow and MacEwen's Small Animal Clinical Oncology
978-0-08-102079-1,The Craft Brewing Handbook
978-0-12-814236-3,"Sugarcane Biorefinery, Technology and Perspectives"
978-0-12-816013-8,Conceptual Breakthroughs in Evolutionary Ecology
978-0-12-816493-8,"Glucosinolates: Properties, Recovery, and Applications"
978-0-12-817657-3,Perspectives in the Development of Mobile Medical Information Systems
978-0-12-819834-6,Clinical Precision Medicine
978-0-12-814659-0,Wearable Robotics
978-0-12-816113-5,Medical Semiology Guide of the Respiratory System
978-0-12-816221-7,Engineering Strategies for Regenerative Medicine
978-0-12-819178-1,"Precision Medicine for Investigators, Practitioners and Providers"
978-0-12-819457-7,Theranostic Approach for Pancreatic Cancer
978-0-12-819640-3,General Medical Semiology Guide Part II
978-0-12-820097-1,Nocturia
978-0-444-62749-0,Monodispersed Particles (Second Edition)
978-0-08-102779-0,Alpha-Glucosidase Inhibitors
978-0-12-817220-9,Ambient Ionization Mass Spectrometry in Life Sciences
978-0-12-817222-3,Semi-Lagrangian Advection Methods and Their Applications in Geoscience
978-0-12-817392-3,"Stochastic Global Optimization Methods and Applications to Chemical, Biochemical, Pharmaceutical and Environmental Processes"
978-0-12-818430-1,Heat Transport and Energetics of the Earth and Rocky Planets
978-0-12-818703-6,Big Data Mining for Climate Change
978-0-12-809923-0,Handbook of Industrial Hydrocarbon Processes (Second Edition)
978-0-12-813315-6,Shale Oil and Gas Production Processes
978-0-12-815936-1,Lignocellulosic Biomass to Liquid Biofuels
978-0-12-818326-7,Nuclear Safety (Second Edition)
978-0-12-820040-7,An Operations Guide to Safety and Environmental Management Systems (SEMS)
978-0-12-820623-2,Analysis and Design of Energy Geostructures
978-0-08-102532-1,"Modeling, Analysis, Design, and Tests for Electronics Packaging beyond Moore"
978-0-08-102708-0,Cyclostationary Processes and Time Series
978-0-08-102816-2,Computational Retinal Image Analysis
978-0-08-103009-7,5G Core Networks
978-0-12-801593-3,Demystifying the Engineering PhD
978-0-12-814106-9,Extended Finite Element and Meshfree Methods
978-0-12-814976-8,Feature Extraction and Image Processing for Computer Vision (Fourth Edition)
978-0-12-815746-6,Building Big Data Applications
978-0-12-816662-8,Nanoparticles for Biomedical Applications
978-0-12-817030-4,Handbook of Electronic Waste Management
978-0-12-818014-3,Real-Time Data Analytics for Large Scale Sensor Data
978-0-12-819862-9,Up and Running with AutoCAD® 2020
978-1-56990-692-7,Continuous-Discontinuous Fiber-Reinforced Polymers
978-0-12-815822-7,Spatiotemporal Analysis of Air Pollution and Its Application in Public Health
978-0-12-818355-7,Life Cycle Sustainability Assessment for Decision-Making
978-0-12-819229-0,Mapping Human and Natural Systems
978-0-444-63998-1,Global Change and Forest Soils
978-0-08-102670-0,Applied Analysis of Composite Media
978-0-08-102726-4,Advanced Ceramics for Energy Conversion and Storage
978-0-12-814727-6,Characterization Techniques for Perovskite Solar Cell Materials
978-0-12-816187-6,2D Semiconductor Materials and Devices
978-0-12-817354-1,Self-Healing Composite Materials
978-0-12-818448-6,"Failure Modes, Effects and Causes of Microbiologically Influenced Corrosion"
978-0-12-849870-5,Advances in Smart Coatings and Thin Films for Future Industrial and Biomedical Engineering Applications
978-0-12-814482-4,Computational Learning Approaches to Data Analytics in Biomedical Applications
978-0-12-817659-7,Neurofeedback
978-0-12-819284-9,Physics of Biological Action and Perception
978-0-12-814527-2,Pharmaceutical Applications of Dendrimers
978-0-12-816814-1,Underexplored Medicinal Plants from Sub-Saharan Africa
978-0-12-818550-6,Pregnancy and the Pharmaceutical Industry
978-0-12-819593-2,Emergence of Pharmaceutical Industry Growth with Industrial IoT Approach
978-0-12-812657-8,Airport Capacity Constraints And Strategies For Mitigation
978-0-12-815265-2,Parking
978-0-12-815715-2,Smart Delivery Systems
978-0-12-818762-3,Technological Learning in the Transition to a Low-Carbon Energy System
978-0-12-811720-0,Lactose
978-0-12-815476-2,Amphibians of North Africa
978-0-12-815829-6,Nano-Biopesticides Today and Future Perspectives
978-0-12-816451-8,Plant Signaling Molecules
978-0-12-813384-2,Osseointegration of Orthopaedic Implants
978-0-12-814687-3,EEG-Based Brain-Computer Interfaces
978-0-12-816864-6,Epidemiology of Diabetes
978-0-444-64191-5,New and Future Developments in Microbial Biotechnology and Bioengineering
978-0-12-815273-7,Modern Applications of Cycloaddition Chemistry
978-0-12-815611-7,Engineering Energy Aluminum Conductor Composite Core (ACCC) and its Application
978-0-08-101034-1,Foundations of Biomaterials Engineering
978-0-08-102586-4,Structural and Stress Analysis (Fourth Edition)
978-0-08-102686-1,New Trends in Natural Dyes for Textiles
978-0-12-815553-0,Intelligent Data Analysis for Biomedical Applications
978-0-12-816782-3,Climate Adaptation Engineering
978-0-12-813639-3,Exchange-Traded Funds in Europe
978-0-12-814381-0,Deformation-Based Processing of Materials
978-0-12-814893-8,Char and Carbon Materials Derived from Biomass
978-0-12-816067-1,High-Entropy Alloys (Second Edition)
978-0-12-804271-7,International Futures
978-0-444-63979-0,Radiation
978-0-12-812832-9,"Genes, Brain Function, and Behavior"
978-0-12-813035-3,Neuroscience of Nicotine
978-0-12-813125-1,Neuroscience of Alcohol
978-0-12-816800-4,Central Serous Chorioretinopathy
978-0-12-816200-2,Nanoarchitectonics in Biomedicine
978-0-12-817638-2,Pharmaceutical Care in Digital Revolution
978-0-12-811806-1,The Clinician's Guide to Treating Health Anxiety
978-0-12-814180-9,Sleep and ADHD
978-0-12-814715-3,Confronting Prejudice and Discrimination
978-0-12-810528-3,Foundations of Airport Economics and Finance
978-0-12-815272-0,Bottled and Packaged Water
978-0-12-799956-2,Key Productivity and Performance Strategies to Advance Your Career
978-0-12-813259-3,Basic and Applied Bone Biology (Second Edition)
978-0-12-814128-1,Fundamentals of Radiation Oncology (Third Edition)
978-0-12-814663-7,Safety Culture (Second Edition)
978-0-444-64015-4,Heterogeneous Photocatalysis
978-0-08-102631-1,Power Generation Technologies (Third Edition)
978-0-12-817860-7,Transport in Shale Reservoirs
978-0-12-804229-8,Machine Component Analysis with MATLAB
978-0-12-813052-0,Modeling and Control of Infectious Diseases in the Host
978-0-12-814062-8,Additive Manufacturing for the Aerospace Industry
978-0-12-815481-6,3D Concrete Printing Technology
978-0-12-817636-8,Artificial Intelligence for the Internet of Everything
978-1-927885-38-3,Handbook of Solvents (Third Edition)
978-1-927885-43-7,Databook of Green Solvents (Second Edition)
978-1-927885-49-9,Databook of Curatives and Crosslinkers
978-0-12-815224-9,Bioarchaeology of Marginalized People
978-0-12-816150-0,Gap Junction Structure and Chemical Regulation
978-0-08-102416-4,Smart Polymers and their Applications (Second Edition)
978-0-12-816108-1,Biological Treatment of Microbial Corrosion
978-0-12-816179-1,Casting Light on the Dark Side of Brain Imaging
978-0-12-814655-2,Biomarkers in Toxicology (Second Edition)
978-0-12-812821-3,"Leadership, Work, and the Dark Side of Personality"
978-0-12-814627-9,The Handbook of Antagonism
978-0-12-814932-4,Global Mental Health and Psychotherapy
978-0-12-812857-2,Air Transport: A Tourism Perspective
978-0-12-816835-6,"Consumer, Prosumer, Prosumager"
978-0-323-54945-5,Onco-Nephrology
978-0-323-53186-3,Kidney Transplantation - Principles and Practice (Eighth Edition)
978-0-08-100890-4,Reducing Salt in Foods (Second Edition)
978-0-12-803954-0,"Biofuels, Bioenergy and Food Security"
978-0-12-810987-8,Taylor's Power Law
978-0-12-813411-5,Sustainable Food Supply Chains
978-0-12-814803-7,"Handbook of Farm, Dairy and Food Machinery Engineering (Third Edition)"
978-0-12-815263-8,Taxonomy of Corynoneura Winnertz (Diptera: Chironomidae)
978-0-12-815591-2,Biodiversity of Pantepui
978-0-12-815663-6,Biopolymer Nanostructures for Food Encapsulation Purposes
978-0-12-817565-1,Mineral Composition and Radioactivity of Edible Mushrooms
978-0-12-818752-4,Agricultural Extension Reforms in South Asia
978-0-12-816348-1,Intrinsically Disordered Proteins
978-0-12-815254-6,Neural Network Modeling and Identification of Dynamical Systems
978-0-12-815713-8,Handbook of Vascular Motion
978-0-12-816163-0,Applied Human Factors in Medical Device Design
978-0-12-816903-2,The Theory of Endobiogeny
978-0-12-816908-7,The Theory of Endobiogeny
978-0-12-815743-5,Advanced Biosensors for Health Care Applications
978-0-444-63504-4,New and Future Developments in Microbial Biotechnology and Bioengineering
978-0-12-813374-3,Quality Control and Evaluation of Herbal Drugs
978-0-12-815505-9,Palladacycles
978-0-12-814458-9,Taking the Temperature of the Earth
978-0-12-816009-1,Andean Tectonics
978-0-12-814814-3,Applied Petroleum Geomechanics
978-0-12-815292-8,Grid-scale Energy Storage Systems and Applications
978-0-12-815903-3,Petroleum Rock Mechanics (Second Edition)
978-0-12-817665-8,Hydraulic Fracturing in Unconventional Reservoirs (Second Edition)
978-0-08-102420-1,Bioelectronics and Medical Devices
978-0-08-102439-3,Numerical Modeling of Masonry and Historical Structures
978-0-12-813337-8,Nanomaterials for Solar Cell Applications
978-0-12-813876-2,Metal Fatigue (Second Edition)
